iter	Passed	Remaining
401	14461	21513
402	14496	21474
403	14530	21436
404	14565	21398
405	14598	21359
406	14632	21320
407	14665	21279
408	14701	21243
409	14735	21204
410	14768	21164
411	14801	21125
412	14835	21085
413	14868	21046
414	14902	21007
415	14936	20968
416	14970	20929
417	15004	20891
418	15037	20851
419	15079	20823
420	15124	20801
421	15168	20775
422	15206	20743
423	15258	20728
424	15302	20702
425	15356	20691
426	15394	20658
427	15433	20625
428	15470	20591
429	15510	20560
430	15553	20533
431	15608	20521
432	15654	20499
433	15695	20469
434	15732	20433
435	15782	20415
436	15823	20386
437	15863	20354
438	15900	20318
439	15941	20289
440	15979	20255
441	16017	20221
442	16056	20188
443	16090	20149
444	16131	20119
445	16170	20086
446	16208	20052
447	16243	20013
448	16277	19974
449	16312	19937
450	16348	19900
451	16384	19863
452	16422	19829
453	16458	19793
454	16494	19757
455	16531	19721
456	16566	19683
457	16599	19643
458	16632	19603
459	16665	19563
460	16699	19525
461	16732	19484
462	16765	19445
463	16799	19406
464	16832	19366
465	16870	19332
466	16904	19293
467	16938	19254
468	16971	19215
469	17005	19176
470	17037	19135
471	17070	19095
472	17104	19057
473	17137	19017
474	17171	18979
475	17205	18940
476	17241	18904
477	17275	18865
478	17311	18828
479	17345	18790
480	17378	18751
481	17413	18713
482	17448	18676
483	17481	18636
484	17514	18597
485	17547	18558
486	17581	18520
487	17615	18481
488	17648	18442
489	17682	18404
490	17715	18364
491	17749	18326
492	17789	18294
493	17823	18256
494	17856	18216
495	17888	18177
496	17922	18138
497	17967	18111
498	18000	18072
499	18033	18033
500	18066	17994
501	18099	17954
502	18131	17915
503	18165	17876
504	18198	17838
505	18232	17799
506	18265	17761
507	18299	17723
508	18335	17687
509	18378	17657
510	18414	17621
511	18447	17582
512	18481	17544
513	18517	17508
514	18550	17469
515	18584	17432
516	18619	17394
517	18654	17358
518	18688	17320
519	18721	17281
520	18757	17245
521	18797	17213
522	18830	17174
523	18864	17136
524	18897	17097
525	18930	17058
526	18963	17020
527	19018	17001
528	19048	16960
529	19085	16924
530	19118	16886
531	19152	16848
532	19192	16815
533	19224	16776
534	19259	16739
535	19293	16701
536	19328	16664
537	19361	16626
538	19394	16587
539	19429	16551
540	19464	16513
541	19513	16489
542	19549	16453
543	19582	16414
544	19614	16375
545	19647	16337
546	19682	16299
547	19716	16262
548	19750	16224
549	19783	16186
550	19816	16148
551	19850	16110
552	19884	16072
553	19926	16041
554	19960	16004
555	19993	15965
556	20026	15927
557	20058	15888
558	20092	15851
559	20125	15813
560	20158	15775
561	20192	15737
562	20226	15699
563	20265	15665
564	20298	15628
565	20331	15590
566	20365	15552
567	20398	15514
568	20442	15484
569	20480	15450
570	20518	15416
571	20558	15382
572	20590	15344
573	20623	15306
574	20657	15268
575	20690	15230
576	20723	15192
577	20755	15153
578	20790	15116
579	20822	15078
580	20855	15040
581	20888	15002
582	20922	14964
583	20954	14926
584	20988	14888
585	21028	14856
586	21062	14818
587	21094	14780
588	21128	14743
589	21163	14706
590	21196	14669
591	21231	14632
592	21265	14595
593	21299	14558
594	21333	14521
595	21367	14483
596	21402	14447
597	21443	14414
598	21488	14385
599	21525	14350
600	21571	14321
601	21611	14287
602	21650	14254
603	21692	14222
604	21728	14186
605	21767	14152
606	21807	14119
607	21849	14087
608	21889	14054
609	21930	14021
610	21977	13992
611	22018	13959
612	22055	13924
613	22100	13893
614	22142	13861
615	22186	13830
616	22223	13795
617	22260	13759
618	22315	13735
619	22350	13698
620	22392	13666
621	22433	13633
622	22469	13596
623	22502	13559
624	22539	13523
625	22572	13486
626	22606	13448
627	22642	13412
628	22677	13375
629	22711	13338
630	22750	13304
631	22784	13266
632	22817	13228
633	22853	13192
634	22889	13156
635	22921	13118
636	22955	13081
637	22989	13043
638	23023	13006
639	23056	12969
640	23093	12934
641	23129	12897
642	23163	12860
643	23207	12828
644	23241	12791
645	23275	12754
646	23310	12718
647	23344	12680
648	23378	12643
649	23412	12606
650	23446	12569
651	23480	12532
652	23517	12496
653	23555	12462
654	23605	12433
655	23671	12413
656	23759	12404
657	23811	12376
658	23897	12365
659	23955	12340
660	24003	12310
661	24055	12282
662	24112	12256
663	24154	12222
664	24188	12185
665	24224	12148
666	24258	12111
667	24293	12074
668	24328	12037
669	24363	12000
670	24398	11963
671	24432	11925
672	24468	11888
673	24506	11853
674	24544	11817
675	24579	11780
676	24613	11743
677	24648	11706
678	24682	11668
679	24723	11634
680	24766	11601
681	24800	11563
682	24834	11526
683	24868	11488
684	24902	11451
685	24935	11413
686	24974	11378
687	25010	11342
688	25051	11307
689	25090	11272
690	25128	11236
691	25166	11201
692	25213	11169
693	25276	11144
694	25310	11107
695	25344	11070
696	25381	11033
697	25416	10996
698	25450	10959
699	25486	10922
700	25520	10885
